"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39760 - Image
11/22/2020 22:18:48
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112222184800SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50","
 HV17323 - Image
11/22/2020 19:08:47
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112219084700SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17791 - Image
11/06/2020 17:08:39
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110617083930SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV38085 - Image
11/06/2020 17:07:01
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110617070152SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV20020 - Image
11/06/2020 17:05:48

 09w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV39244 - Image
11/06/2020 16:58:47

 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV20115 - Image
11/06/2020 16:51:30
http://10.37.248.147/njta/202011/20201106/004_09w/013004_09wW2020110616513036SV_02.jpg
 09w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20981 - Image
11/06/2020 16:40:20
http://10.37.248.147/njta/202011/20201106/001_16w/013001_16wW2020110616402066SV_02.jpg
 16w - 1  
OPEN
$35.70
$50.00
$0.00
$85.70","
 HV21043 - Image
11/06/2020 16:21:03
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110616210375SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV37210 - Image
11/06/2020 16:19:15
http://10.37.248.147/njta/202011/20201106/16W_07w/01316W_07wW2020110616191569SV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV20578 - Image
11/06/2020 15:40:01

 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV19562 - Image
11/06/2020 15:38:38
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110615383830SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17807 - Image
11/06/2020 16:24:08
http://10.37.248.147/njta/202011/20201106/07A_10w/01307A_10wW2020110616240850SV_02.jpg
 10w - 7A 
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV20429 - Image
11/06/2020 07:59:45
http://10.37.248.147/njta/202011/20201106/17S_01s/01317S_01sS2020110607594502SV_02.jpg
 01s - 17S
OPEN
$7.60
$50.00
$0.00
$57.60","
 HV21084 - Image
11/06/2020 07:19:30
http://10.37.248.147/njta/202011/20201106/18W_09w/01318W_09wW2020110607193068SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV37945 - Image
11/06/2020 06:26:46
http://10.37.248.147/njta/202011/20201106/18W_08w/01318W_08wW2020110606264649SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM5767 - Image
11/23/2020 15:38:26
http://10.37.248.147/dr/202011/20201123/2___07W/0072___07WW2020112315382600SV_02.jpg
 07W - BFB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM6617 - Image
11/22/2020 19:53:04
http://10.37.248.147/drjt/202011/20201122/O78_11W/020O78_11WN2020112219530435SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 TM3723 - Image
11/22/2020 05:36:29
http://10.37.248.147/drjt/202011/20201122/TM__05W/020TM__05WN2020112205362956SV_02.jpg
 05W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN1640 - Image
11/22/2020 19:08:13
http://10.37.248.147/drba/202011/20201122/DMB_12_/016DMB_12_W2020112219081300SV_02.jpg
 12 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TN766 - Image
11/22/2020 10:28:24
http://10.37.248.147/drba/202011/20201122/DMB_03_/016DMB_03_W2020112210282400SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TM6971 - Image
11/22/2020 00:21:14
http://10.37.248.147/drba/202011/20201122/DMB_10_/016DMB_10_W2020112200211400SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL6226 - Image
11/22/2020 17:13:07
http://10.37.248.147/drba/202011/20201122/DMB_12_/016DMB_12_W2020112217130700SV_02.jpg
 12 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN3686 - Image
11/21/2020 22:53:20
http://10.37.248.147/drba/202011/20201121/DMB_03_/016DMB_03_W2020112122532000SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM6598 - Image
11/21/2020 21:36:39
http://10.37.248.147/drjt/202011/20201121/O78_11W/020O78_11WN2020112121363903SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 TL8362 - Image
11/21/2020 19:01:19
http://10.37.248.147/drjt/202011/20201121/ODW_21W/020ODW_21WN2020112119011913SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 TN1148 - Image
11/21/2020 17:46:32
http://10.37.248.147/drjt/202011/20201121/O78_11W/020O78_11WN2020112117463299SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL9152 - Image
11/21/2020 12:31:20
http://10.37.248.147/drjt/202011/20201121/ODW_21W/020ODW_21WN2020112112312095SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM9411 - Image
11/21/2020 12:22:11
http://10.37.248.147/drba/202011/20201121/DMB_05_/016DMB_05_W2020112112221100SV_02.jpg
 05 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TL6765 - Image
11/21/2020 09:07:53
http://10.37.248.147/drba/202011/20201121/DMB_12_/016DMB_12_W2020112109075300SV_02.jpg
 12 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TL9451 - Image
11/21/2020 02:02:01
http://10.37.248.147/drba/202011/20201121/DMB_04_/016DMB_04_W2020112102020100SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL8870 - Image
11/21/2020 05:12:59
http://10.37.248.147/drjt/202011/20201121/O78_11W/020O78_11WN2020112105125967SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 TN400 - Image
11/21/2020 02:04:33
http://10.37.248.147/drjt/202011/20201121/O78_11W/020O78_11WN2020112102043375SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM760 - Image
11/21/2020 04:26:44

 06s - PVK
OPEN
$9.55
$50.00
$0.00
$59.55"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN1148 - Image
11/21/2020 02:16:49
http://10.37.248.147/dr/202011/20201121/4___07W/0074___07WW2020112102164900SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50","
 TL7082 - Image
11/21/2020 02:15:17
http://10.37.248.147/dr/202011/20201121/2___08W/0072___08WW2020112102151700SV_02.jpg
 08W - BFB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN2064 - Image
11/20/2020 17:57:24
http://10.37.248.147/drba/202011/20201120/DMB_05_/016DMB_05_W2020112017572400SV_02.jpg
 05 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TM1205 - Image
11/20/2020 12:48:02
http://10.37.248.147/drba/202011/20201120/DMB_03_/016DMB_03_W2020112012480200SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TM3695 - Image
11/20/2020 05:43:54
http://10.37.248.147/drba/202011/20201120/DMB_10_/016DMB_10_W2020112005435400SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM2511 - Image
11/20/2020 14:20:42
http://10.37.248.147/dr/202011/20201120/1___09W/0071___09WW2020112014204200SV_02.jpg
 09W - BRB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM5796 - Image
11/20/2020 05:56:52
http://10.37.248.147/drjt/202011/20201120/ODW_21W/020ODW_21WN2020112005565232SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN3768 - Image
11/20/2020 02:57:04
http://10.37.248.147/drba/202011/20201120/DMB_09_/016DMB_09_W2020112002570400SV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TN3635 - Image
11/20/2020 01:38:35
http://10.37.248.147/drba/202011/20201120/DMB_10_/016DMB_10_W2020112001383500SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL6047 - Image
11/20/2020 01:46:56
http://10.37.248.147/njta/202011/20201120/012_08w/013012_08wW2020112001465605SV_02.jpg
 08w - 12 
OPEN
$3.75
$50.00
$0.00
$53.75","
 TL6666 - Image
11/20/2020 01:05:39
http://10.37.248.147/njta/202011/20201120/010_06w/013010_06wW2020112001053901SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 TM6756 - Image
11/20/2020 00:55:08
http://10.37.248.147/njta/202011/20201120/18W_09w/01318W_09wW2020112000550826SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TM6212 - Image
11/20/2020 00:53:45
http://10.37.248.147/njta/202011/20201120/07A_13w/01307A_13wW2020112000534591SV_02.jpg
 13w - 7A 
OPEN
$48.70
$50.00
$0.00
$98.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL5151 - Image
11/19/2020 23:42:53
http://10.37.248.147/njta/202011/20201119/012_11w/013012_11wW2020111923425328SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL8422 - Image
11/19/2020 23:29:03
http://10.37.248.147/njta/202011/20201119/001_15w/013001_15wW2020111923290336SV_02.jpg
 15w - 1  
OPEN
$35.70
$50.00
$0.00
$85.70","
 TL9286 - Image
11/19/2020 23:08:04
http://10.37.248.147/njta/202011/20201119/001_15w/013001_15wW2020111923080418SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 TK5387 - Image
11/19/2020 22:41:44
http://10.37.248.147/njta/202011/20201119/16W_07w/01316W_07wW2020111922414464SV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 TM4639 - Image
11/19/2020 21:24:55
http://10.37.248.147/njta/202011/20201119/012_16w/013012_16wW2020111921245505SV_02.jpg
 16w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL9286 - Image
11/19/2020 23:14:21
http://10.37.248.147/drba/202011/20201119/DMB_10_/016DMB_10_W2020111923142100SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL7435 - Image
11/19/2020 23:02:10
http://10.37.248.147/drjt/202011/20201119/O78_12W/020O78_12WN2020111923021094SV_02.jpg
 12W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 TM4529 - Image
11/19/2020 20:46:25
http://10.37.248.147/drjt/202011/20201119/O78_11W/020O78_11WN2020111920462590SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM9747 - Image
11/19/2020 22:22:28

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 TM953 - Image
11/19/2020 16:57:44
http://10.37.248.147/njta/202011/20201119/010_06w/013010_06wW2020111916574414SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 TM5784 - Image
11/19/2020 13:49:23
http://10.37.248.147/njta/202011/20201119/18W_09w/01318W_09wW2020111913492376SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 TN3792 - Image
11/19/2020 11:38:37

 07w - 9  
OPEN
$14.50
$50.00
$0.00
$64.50","
 TL6764 - Image
11/19/2020 11:15:26
http://10.37.248.147/njta/202011/20201119/18W_09w/01318W_09wW2020111911152662SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM5247 - Image
11/19/2020 22:00:35
http://10.37.248.147/njta/202011/20201119/18W_09w/01318W_09wW2020111922003502SV_02.jpg
 09w - 18W
OPEN
$14.15
$50.00
$0.00
$64.15","
 TM6756 - Image
11/19/2020 18:30:52
http://10.37.248.147/njta/202011/20201119/012_13w/013012_13wW2020111918305257SV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 TL5857 - Image
11/19/2020 14:03:26
http://10.37.248.147/njta/202011/20201119/013_04w/013013_04wW2020111914032695SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 TL9197 - Image
11/19/2020 14:01:19
http://10.37.248.147/njta/202011/20201119/006_07w/013006_07wW2020111914011915SV_02.jpg
 07w - 6  
OPEN
$40.85
$50.00
$0.00
$90.85"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM3731 - Image
11/19/2020 21:41:17
http://10.37.248.147/drba/202011/20201119/DMB_04_/016DMB_04_W2020111921411700SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TN3731 - Image
11/19/2020 07:27:40
http://10.37.248.147/drba/202011/20201119/DMB_10_/016DMB_10_W2020111907274000SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TN2210 - Image
11/19/2020 05:33:45
http://10.37.248.147/drba/202011/20201119/DMB_10_/016DMB_10_W2020111905334500SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TM3165 - Image
11/19/2020 03:01:56
http://10.37.248.147/drba/202011/20201119/DMB_10_/016DMB_10_W2020111903015600SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 TM9339 - Image
11/19/2020 01:17:36
http://10.37.248.147/drba/202011/20201119/DMB_10_/016DMB_10_W2020111901173600SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM9617 - Image
11/19/2020 21:01:30
http://10.37.248.147/njta/202011/20201119/006_07w/013006_07wW2020111921013088SV_02.jpg
 07w - 6  
OPEN
$10.95
$50.00
$0.00
$60.95","
 TL8467 - Image
11/19/2020 20:55:23
http://10.37.248.147/njta/202011/20201119/003_07w/013003_07wW2020111920552381SV_02.jpg
 07w - 3  
OPEN
$25.55
$50.00
$0.00
$75.55","
 TM9847 - Image
11/19/2020 18:41:05
http://10.37.248.147/njta/202011/20201119/012_14w/013012_14wW2020111918410535SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 TL9011 - Image
11/19/2020 17:47:54
http://10.37.248.147/njta/202011/20201119/006_07w/013006_07wW2020111917475442SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 TL9884 - Image
11/19/2020 17:09:33
http://10.37.248.147/njta/202011/20201119/003_07w/013003_07wW2020111917093363SV_02.jpg
 07w - 3  
OPEN
$6.65
$50.00
$0.00
$56.65"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN400 - Image
11/19/2020 18:07:48
http://10.37.248.147/drjt/202011/20201119/O78_11W/020O78_11WN2020111918074857SV_02.jpg
 11W - O78
OPEN
$16.00
$30.00
$0.00
$46.00","
 TM4298 - Image
11/19/2020 03:26:50
http://10.37.248.147/drjt/202011/20201119/O78_12W/020O78_12WN2020111903265017SV_02.jpg
 12W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL9884 - Image
11/19/2020 16:30:11
http://10.37.248.147/njta/202011/20201119/005_04w/013005_04wW2020111916301139SV_02.jpg
 04w - 5  
OPEN
$8.65
$50.00
$0.00
$58.65","
 TM619 - Image
11/19/2020 16:13:24
http://10.37.248.147/njta/202011/20201119/013_08w/013013_08wW2020111916132422SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 TL9152 - Image
11/19/2020 15:42:57
http://10.37.248.147/njta/202011/20201119/013_04w/013013_04wW2020111915425767SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 TM3362 - Image
11/19/2020 15:31:43

 09w - 18W
OPEN
$12.70
$50.00
$0.00
$62.70","
 TN3550 - Image
11/19/2020 15:31:11

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL8497 - Image
11/19/2020 14:39:02

 07w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 TL6238 - Image
11/19/2020 13:46:43

 05w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 TM9339 - Image
11/19/2020 13:31:58
http://10.37.248.147/njta/202011/20201119/012_11w/013012_11wW2020111913315833SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 TM9847 - Image
11/19/2020 12:50:27
http://10.37.248.147/njta/202011/20201119/013_04w/013013_04wW2020111912502769SV_02.jpg
 04w - 13 
OPEN
$25.55
$50.00
$0.00
$75.55","
 TM4639 - Image
11/19/2020 12:37:19

 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TM2511 - Image
11/19/2020 12:56:41
http://10.37.248.147/njta/202011/20201119/07A_13w/01307A_13wW2020111912564178SV_02.jpg
 13w - 7A 
OPEN
$19.40
$50.00
$0.00
$69.40","
 TL6532 - Image
11/19/2020 12:08:48
http://10.37.248.147/njta/202011/20201119/001_15w/013001_15wW2020111912084877SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 TL6762 - Image
11/19/2020 03:01:02
http://10.37.248.147/njta/202011/20201119/005_04w/013005_04wW2020111903010284SV_02.jpg
 04w - 5  
OPEN
$18.20
$50.00
$0.00
$68.20","
 TN376 - Image
11/19/2020 02:51:05
http://10.37.248.147/njta/202011/20201119/002_05w/013002_05wW2020111902510598SV_02.jpg
 05w - 2  
OPEN
$30.85
$50.00
$0.00
$80.85","
 TM858 - Image
11/19/2020 00:48:31

 04w - 6  
OPEN
$30.20
$50.00
$0.00
$80.20"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL6532 - Image
11/19/2020 12:14:27
http://10.37.248.147/drba/202011/20201119/DMB_03_/016DMB_03_W2020111912142700SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN293 - Image
11/19/2020 10:55:29
http://10.37.248.147/njta/202011/20201119/012_08w/013012_08wW2020111910552912SV_02.jpg
 08w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 TL7629 - Image
11/19/2020 08:48:20
http://10.37.248.147/njta/202011/20201119/16W_07w/01316W_07wW2020111908482059SV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 TM6679 - Image
11/19/2020 08:17:08
http://10.37.248.147/njta/202011/20201119/07A_10w/01307A_10wW2020111908170887SV_02.jpg
 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 TN3731 - Image
11/19/2020 07:21:35
http://10.37.248.147/njta/202011/20201119/001_16w/013001_16wW2020111907213564SV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 TM9527 - Image
11/19/2020 04:32:42
http://10.37.248.147/njta/202011/20201119/010_09w/013010_09wW2020111904324244SV_02.jpg
 09w - 10 
OPEN
$21.55
$50.00
$0.00
$71.55"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL9011 - Image
11/19/2020 10:15:35
http://10.37.248.147/njta/202011/20201119/010_06w/013010_06wW2020111910153553SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 TL6803 - Image
11/19/2020 09:46:54

 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50","
 TM619 - Image
11/19/2020 07:57:29
http://10.37.248.147/njta/202011/20201119/07A_13w/01307A_13wW2020111907572997SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 TL7044 - Image
11/19/2020 06:47:26
http://10.37.248.147/njta/202011/20201119/07A_12w/01307A_12wW2020111906472625SV_02.jpg
 12w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 TM6279 - Image
11/19/2020 05:35:22
http://10.37.248.147/njta/202011/20201119/004_09w/013004_09wW2020111905352239SV_02.jpg
 09w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TL6179 - Image
11/19/2020 09:35:10
http://10.37.248.147/drjt/202011/20201119/O78_12W/020O78_12WN2020111909351057SV_02.jpg
 12W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 TN833 - Image
11/19/2020 05:26:48
http://10.37.248.147/drjt/202011/20201119/O78_11W/020O78_11WN2020111905264815SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 TL6451 - Image
11/19/2020 03:01:18
http://10.37.248.147/drjt/202011/20201119/TM__04W/020TM__04WN2020111903011865SV_02.jpg
 04W - T-M
OPEN
$20.00
$30.00
$0.00
$50.00","
 TM980 - Image
11/19/2020 02:57:28
http://10.37.248.147/drjt/202011/20201119/O78_11W/020O78_11WN2020111902572861SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 TL6995 - Image
11/19/2020 00:41:30
http://10.37.248.147/drjt/202011/20201119/ODW_21W/020ODW_21WN2020111900413062SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 TN2210 - Image
11/19/2020 05:28:00
http://10.37.248.147/njta/202011/20201119/001_15w/013001_15wW2020111905280010SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 TM3486 - Image
11/19/2020 05:21:00
http://10.37.248.147/njta/202011/20201119/012_14w/013012_14wW2020111905210045SV_02.jpg
 14w - 12 
OPEN
$38.70
$50.00
$0.00
$88.70","
 TL4937 - Image
11/19/2020 05:15:07
http://10.37.248.147/njta/202011/20201119/012_10w/013012_10wW2020111905150781SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 TN833 - Image
11/19/2020 04:26:04
http://10.37.248.147/njta/202011/20201119/014_26w/013014_26wW2020111904260440SV_02.jpg
 26w - 14 
OPEN
$13.40
$50.00
$0.00
$63.40","
 TM4639 - Image
11/19/2020 03:39:08
http://10.37.248.147/njta/202011/20201119/012_13w/013012_13wW2020111903390868SV_02.jpg
 13w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90"
