"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20516 - Image
10/25/2020 12:54:47
http://10.37.248.147/njta/202010/20201025/013_04w/013013_04wW2020102512544792DV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV01642 - Image
10/25/2020 11:50:15
http://10.37.248.147/njta/202010/20201025/18W_09w/01318W_09wW2020102511501544DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV20524 - Image
10/25/2020 11:46:37
http://10.37.248.147/njta/202010/20201025/014_21w/013014_21wW2020102511463769DV_02.jpg
 21w - 14 
OPEN
$3.75
$50.00
$0.00
$53.75","
 HV20641 - Image
10/25/2020 11:21:02

 06w - 10 
OPEN
$37.15
$50.00
$0.00
$87.15","
 HV20524 - Image
10/25/2020 11:17:39
http://10.37.248.147/njta/202010/20201025/15E_11w/01315E_11wW2020102511173961DV_02.jpg
 11w - 15E
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38185 - Image
10/25/2020 11:58:25
http://10.37.248.147/njta/202010/20201025/18W_08w/01318W_08wW2020102511582558DV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV39564 - Image
10/25/2020 11:41:54
http://10.37.248.147/njta/202010/20201025/013_04w/013013_04wW2020102511415439DV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV20692 - Image
10/25/2020 11:10:33

 11w - 14A
OPEN
$16.75
$50.00
$0.00
$66.75","
 HV36757 - Image
10/25/2020 10:56:40

 03w - 7  
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV19735 - Image
10/25/2020 10:38:11
http://10.37.248.147/njta/202010/20201025/012_17w/013012_17wW2020102510381112DV_02.jpg
 17w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17357 - Image
10/25/2020 10:32:30
http://10.37.248.147/njta/202010/20201025/06A_01s/01306A_01sS2020102510323075DV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV36374 - Image
10/25/2020 09:44:05

 03w - 7  
OPEN
$15.55
$50.00
$0.00
$65.55","
 HV39291 - Image
10/25/2020 09:13:45
http://10.37.248.147/njta/202010/20201025/004_07w/013004_07wW2020102509134542DV_02.jpg
 07w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV13405 - Image
10/25/2020 07:42:26
http://10.37.248.147/njta/202010/20201025/013_08w/013013_08wW2020102507422685DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV14974 - Image
10/25/2020 06:31:22
http://10.37.248.147/njta/202010/20201025/012_14w/013012_14wW2020102506312212DV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37237 - Image
10/25/2020 10:27:45
http://10.37.248.147/njta/202010/20201025/013_08w/013013_08wW2020102510274509DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV44874 - Image
10/25/2020 08:04:57
http://10.37.248.147/njta/202010/20201025/001_15w/013001_15wW2020102508045774DV_02.jpg
 15w - 1  
OPEN
$21.00
$50.00
$0.00
$71.00","
 HV43922 - Image
10/25/2020 05:36:06
http://10.37.248.147/njta/202010/20201025/07A_13w/01307A_13wW2020102505360681DV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV19626 - Image
10/25/2020 05:00:04
http://10.37.248.147/njta/202010/20201025/006_07w/013006_07wW2020102505000425DV_02.jpg
 07w - 6  
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV38963 - Image
10/25/2020 04:53:52
http://10.37.248.147/njta/202010/20201025/08A_09w/01308A_09wW2020102504535273DV_02.jpg
 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36498 - Image
10/25/2020 10:18:40
http://10.37.248.147/drjt/202010/20201025/O78_11W/020O78_11WN2020102510184004DV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV37265 - Image
10/25/2020 04:11:39
http://10.37.248.147/drjt/202010/20201025/O78_11W/020O78_11WN2020102504113940DV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45035 - Image
10/25/2020 06:27:41
http://10.37.248.147/njta/202010/20201025/012_14w/013012_14wW2020102506274179DV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV44116 - Image
10/25/2020 05:33:59
http://10.37.248.147/njta/202010/20201025/006_07w/013006_07wW2020102505335995DV_02.jpg
 07w - 6  
OPEN
$28.70
$50.00
$0.00
$78.70","
 HV19422 - Image
10/25/2020 04:44:51
http://10.37.248.147/njta/202010/20201025/07A_10w/01307A_10wW2020102504445168DV_02.jpg
 10w - 7A 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV37730 - Image
10/25/2020 04:23:07
http://10.37.248.147/njta/202010/20201025/010_06w/013010_06wW2020102504230713DV_02.jpg
 06w - 10 
OPEN
$8.30
$50.00
$0.00
$58.30","
 HV38634 - Image
10/25/2020 03:45:21
http://10.37.248.147/njta/202010/20201025/18W_08w/01318W_08wW2020102503452101DV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV42998 - Image
10/25/2020 04:30:21
http://10.37.248.147/njta/202010/20201025/006_07w/013006_07wW2020102504302152DV_02.jpg
 07w - 6  
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV37689 - Image
10/25/2020 04:00:45
http://10.37.248.147/njta/202010/20201025/004_07w/013004_07wW2020102504004525DV_02.jpg
 07w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV43043 - Image
10/25/2020 03:50:37
http://10.37.248.147/njta/202010/20201025/13A_17w/01313A_17wW2020102503503755DV_02.jpg
 17w - 13A
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV02136 - Image
10/25/2020 03:32:23
http://10.37.248.147/njta/202010/20201025/07A_09w/01307A_09wW2020102503322356DV_02.jpg
 09w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV37153 - Image
10/25/2020 03:07:56
http://10.37.248.147/njta/202010/20201025/15W_13w/01315W_13wW2020102503075689DV_02.jpg
 13w - 15W
OPEN
$9.80
$50.00
$0.00
$59.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45989 - Image
10/25/2020 03:06:48
http://10.37.248.147/njta/202010/20201025/013_08w/013013_08wW2020102503064895DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV38586 - Image
10/25/2020 02:28:12
http://10.37.248.147/njta/202010/20201025/13A_17w/01313A_17wW2020102502281242DV_02.jpg
 17w - 13A
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV14866 - Image
10/25/2020 02:27:00

 14w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV07365 - Image
10/25/2020 02:14:14
http://10.37.248.147/njta/202010/20201025/010_09w/013010_09wW2020102502141456DV_02.jpg
 09w - 10 
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV13496 - Image
10/25/2020 02:09:33
http://10.37.248.147/njta/202010/20201025/15W_12w/01315W_12wW2020102502093387DV_02.jpg
 12w - 15W
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39115 - Image
10/25/2020 03:02:31
http://10.37.248.147/njta/202010/20201025/013_11w/013013_11wW2020102503023193DV_02.jpg
 11w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV36347 - Image
10/25/2020 02:51:49
http://10.37.248.147/njta/202010/20201025/012_09w/013012_09wW2020102502514914DV_02.jpg
 09w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV42858 - Image
10/25/2020 02:20:20
http://10.37.248.147/njta/202010/20201025/001_15w/013001_15wW2020102502202091DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV39979 - Image
10/25/2020 02:14:03
http://10.37.248.147/njta/202010/20201025/010_09w/013010_09wW2020102502140348DV_02.jpg
 09w - 10 
OPEN
$8.65
$50.00
$0.00
$58.65","
 HV40654 - Image
10/25/2020 01:29:43
http://10.37.248.147/njta/202010/20201025/18W_09w/01318W_09wW2020102501294356DV_02.jpg
 09w - 18W
OPEN
$62.95
$50.00
$0.00
$112.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV42858 - Image
10/25/2020 02:25:16
http://10.37.248.147/drba/202010/20201025/DMB_10_/016DMB_10_W2020102502251600DV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19257 - Image
10/25/2020 02:00:33
http://10.37.248.147/njta/202010/20201025/004_07w/013004_07wW2020102502003382DV_02.jpg
 07w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV20600 - Image
10/25/2020 01:53:45
http://10.37.248.147/njta/202010/20201025/08A_09w/01308A_09wW2020102501534585DV_02.jpg
 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50","
 HV13496 - Image
10/25/2020 01:48:36
http://10.37.248.147/njta/202010/20201025/15E_11w/01315E_11wW2020102501483642DV_02.jpg
 11w - 15E
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV44405 - Image
10/25/2020 01:46:02
http://10.37.248.147/njta/202010/20201025/012_10w/013012_10wW2020102501460256DV_02.jpg
 10w - 12 
OPEN
$3.75
$50.00
$0.00
$53.75","
 HV19273 - Image
10/25/2020 01:19:44
http://10.37.248.147/njta/202010/20201025/18W_09w/01318W_09wW2020102501194423DV_02.jpg
 09w - 18W
OPEN
$48.70
$50.00
$0.00
$98.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43277 - Image
10/25/2020 01:27:02
http://10.37.248.147/njta/202010/20201025/013_08w/013013_08wW2020102501270299DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV44279 - Image
10/25/2020 01:19:21
http://10.37.248.147/njta/202010/20201025/15E_12w/01315E_12wW2020102501192104DV_02.jpg
 12w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV37727 - Image
10/25/2020 01:12:25
http://10.37.248.147/njta/202010/20201025/013_04w/013013_04wW2020102501122552DV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV13403 - Image
10/25/2020 01:05:10

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV44659 - Image
10/25/2020 00:39:56

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45098 - Image
10/25/2020 01:03:15

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV37043 - Image
10/25/2020 01:03:06
http://10.37.248.147/njta/202010/20201025/010_06w/013010_06wW2020102501030623DV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV21013 - Image
10/25/2020 00:57:57
http://10.37.248.147/njta/202010/20201025/18W_09w/01318W_09wW2020102500575721DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV02254 - Image
10/25/2020 00:41:19
http://10.37.248.147/njta/202010/20201025/18E_11w/01318E_11wW2020102500411960DV_02.jpg
 11w - 18E
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV14839 - Image
10/25/2020 00:08:34

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17650 - Image
10/24/2020 23:52:55
http://10.37.248.147/njta/202010/20201024/006_07w/013006_07wW2020102423525523DV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV38118 - Image
10/24/2020 23:49:49
http://10.37.248.147/njta/202010/20201024/18W_09w/01318W_09wW2020102423494989DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV17859 - Image
10/24/2020 23:36:00
http://10.37.248.147/njta/202010/20201024/012_11w/013012_11wW2020102423360099DV_02.jpg
 11w - 12 
OPEN
$11.20
$50.00
$0.00
$61.20","
 HV20301 - Image
10/24/2020 23:06:53
http://10.37.248.147/njta/202010/20201024/012_16w/013012_16wW2020102423065310DV_02.jpg
 16w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV19406 - Image
10/24/2020 21:53:27
http://10.37.248.147/njta/202010/20201024/008_05w/013008_05wW2020102421532799DV_02.jpg
 05w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36760 - Image
10/24/2020 23:44:44
http://10.37.248.147/njta/202010/20201024/14A_09w/01314A_09wW2020102423444463DV_02.jpg
 09w - 14A
OPEN
$21.00
$50.00
$0.00
$71.00","
 HV37038 - Image
10/24/2020 23:43:54
http://10.37.248.147/njta/202010/20201024/013_09w/013013_09wW2020102423435429DV_02.jpg
 09w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV18993 - Image
10/24/2020 23:39:37

 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV38415 - Image
10/24/2020 22:44:15
http://10.37.248.147/njta/202010/20201024/012_10w/013012_10wW2020102422441579DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV37207 - Image
10/24/2020 22:35:08
http://10.37.248.147/njta/202010/20201024/005_04w/013005_04wW2020102422350837DV_02.jpg
 04w - 5  
OPEN
$18.20
$50.00
$0.00
$68.20"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40271 - Image
10/24/2020 22:34:36
http://10.37.248.147/njta/202010/20201024/012_10w/013012_10wW2020102422343639DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV40271 - Image
10/24/2020 20:13:41
http://10.37.248.147/njta/202010/20201024/18E_11w/01318E_11wW2020102420134100DV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV40271 - Image
10/24/2020 18:34:51
http://10.37.248.147/njta/202010/20201024/010_05w/013010_05wW2020102418345136DV_02.jpg
 05w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV40271 - Image
10/24/2020 17:00:29
http://10.37.248.147/njta/202010/20201024/008_03w/013008_03wW2020102417002963DV_02.jpg
 03w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV44094 - Image
10/24/2020 16:17:01

 08w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45290 - Image
10/24/2020 22:03:46
http://10.37.248.147/drba/202010/20201024/DMB_09_/016DMB_09_W2020102422034600DV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39329 - Image
10/24/2020 22:02:31
http://10.37.248.147/drba/202010/20201024/DMB_09_/016DMB_09_W2020102422023100DV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV40020 - Image
10/24/2020 20:08:41
http://10.37.248.147/drba/202010/20201024/DMB_03_/016DMB_03_W2020102420084100DV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV43077 - Image
10/24/2020 20:01:29
http://10.37.248.147/drba/202010/20201024/DMB_09_/016DMB_09_W2020102420012900DV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV15222 - Image
10/24/2020 18:43:37
http://10.37.248.147/drba/202010/20201024/DMB_09_/016DMB_09_W2020102418433700DV_02.jpg
 09 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV43560 - Image
10/24/2020 17:44:01
http://10.37.248.147/drba/202010/20201024/DMB_11_/016DMB_11_W2020102417440100DV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45290 - Image
10/24/2020 21:58:21
http://10.37.248.147/njta/202010/20201024/001_16w/013001_16wW2020102421582167DV_02.jpg
 16w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV39329 - Image
10/24/2020 21:55:53
http://10.37.248.147/njta/202010/20201024/001_15w/013001_15wW2020102421555309DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV17501 - Image
10/24/2020 21:29:14
http://10.37.248.147/njta/202010/20201024/006_07w/013006_07wW2020102421291457DV_02.jpg
 07w - 6  
OPEN
$28.70
$50.00
$0.00
$78.70","
 HV38634 - Image
10/24/2020 20:30:17
http://10.37.248.147/njta/202010/20201024/013_11w/013013_11wW2020102420301743DV_02.jpg
 11w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV43077 - Image
10/24/2020 19:56:10
http://10.37.248.147/njta/202010/20201024/001_15w/013001_15wW2020102419561023DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV14774 - Image
10/24/2020 21:22:11

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV36554 - Image
10/24/2020 21:13:32

 01s - 6A 
OPEN
$4.10
$50.00
$0.00
$54.10","
 HV45986 - Image
10/24/2020 20:46:57

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV45357 - Image
10/24/2020 20:22:26

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV43826 - Image
10/24/2020 20:14:22
http://10.37.248.147/njta/202010/20201024/18W_08w/01318W_08wW2020102420142244DV_02.jpg
 08w - 18W
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44119 - Image
10/24/2020 19:54:47
http://10.37.248.147/njta/202010/20201024/012_10w/013012_10wW2020102419544735DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV39340 - Image
10/24/2020 19:07:59
http://10.37.248.147/njta/202010/20201024/013_11w/013013_11wW2020102419075935DV_02.jpg
 11w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV38406 - Image
10/24/2020 18:48:05
http://10.37.248.147/njta/202010/20201024/18W_09w/01318W_09wW2020102418480519DV_02.jpg
 09w - 18W
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV39301 - Image
10/24/2020 17:38:35
http://10.37.248.147/njta/202010/20201024/18W_09w/01318W_09wW2020102417383593DV_02.jpg
 09w - 18W
OPEN
$48.70
$50.00
$0.00
$98.70","
 HV45714 - Image
10/24/2020 17:35:19
http://10.37.248.147/njta/202010/20201024/006_07w/013006_07wW2020102417351994DV_02.jpg
 07w - 6  
OPEN
$15.55
$50.00
$0.00
$65.55"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19873 - Image
10/24/2020 19:37:18
http://10.37.248.147/njta/202010/20201024/18W_09w/01318W_09wW2020102419371821DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV44985 - Image
10/24/2020 18:23:18
http://10.37.248.147/njta/202010/20201024/010_05w/013010_05wW2020102418231892DV_02.jpg
 05w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV39422 - Image
10/24/2020 18:01:12
http://10.37.248.147/njta/202010/20201024/012_10w/013012_10wW2020102418011225DV_02.jpg
 10w - 12 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV14631 - Image
10/24/2020 17:42:23

 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV08544 - Image
10/24/2020 17:09:43
http://10.37.248.147/njta/202010/20201024/18W_09w/01318W_09wW2020102417094371DV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39340 - Image
10/24/2020 15:53:38
http://10.37.248.147/njta/202010/20201024/012_10w/013012_10wW2020102415533836DV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV45622 - Image
10/24/2020 15:51:39
http://10.37.248.147/njta/202010/20201024/003_07w/013003_07wW2020102415513944DV_02.jpg
 07w - 3  
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV42952 - Image
10/24/2020 15:40:08

 09w - 10 
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV19213 - Image
10/24/2020 15:30:31
http://10.37.248.147/njta/202010/20201024/006_07w/013006_07wW2020102415303105DV_02.jpg
 07w - 6  
OPEN
$23.75
$50.00
$0.00
$73.75","
 HV40513 - Image
10/24/2020 14:16:27
http://10.37.248.147/njta/202010/20201024/18E_11w/01318E_11wW2020102414162712DV_02.jpg
 11w - 18E
OPEN
$29.45
$50.00
$0.00
$79.45"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40613 - Image
10/24/2020 15:12:37
http://10.37.248.147/njta/202010/20201024/005_04w/013005_04wW2020102415123708DV_02.jpg
 04w - 5  
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV17648 - Image
10/24/2020 15:08:17
http://10.37.248.147/njta/202010/20201024/006_07w/013006_07wW2020102415081714DV_02.jpg
 07w - 6  
OPEN
$28.70
$50.00
$0.00
$78.70","
 HV37908 - Image
10/24/2020 13:25:45
http://10.37.248.147/njta/202010/20201024/013_03w/013013_03wW2020102413254570DV_02.jpg
 03w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV13357 - Image
10/24/2020 05:03:25
http://10.37.248.147/njta/202010/20201024/012_10w/013012_10wW2020102405032542DV_02.jpg
 10w - 12 
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV20621 - Image
10/24/2020 02:07:58
http://10.37.248.147/njta/202010/20201024/013_08w/013013_08wW2020102402075840DV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37880 - Image
10/24/2020 15:11:19
http://10.37.248.147/dr/202010/20201024/1___10W/0071___10WW2020102415111900DV_02.jpg
 10W - BRB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV13502 - Image
10/24/2020 15:01:55

 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV37880 - Image
10/24/2020 14:59:40
http://10.37.248.147/njta/202010/20201024/004_06w/013004_06wW2020102414594079DV_02.jpg
 06w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV20536 - Image
10/24/2020 14:46:12
http://10.37.248.147/njta/202010/20201024/001_15w/013001_15wW2020102414461207DV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV38304 - Image
10/24/2020 14:31:26

 10w - 7A 
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV19254 - Image
10/24/2020 14:03:10
http://10.37.248.147/njta/202010/20201024/012_13w/013012_13wW2020102414031077DV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV18131 - Image
10/24/2020 13:56:48

 10w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV20926 - Image
10/24/2020 13:49:21
http://10.37.248.147/njta/202010/20201024/18W_09w/01318W_09wW2020102413492172DV_02.jpg
 09w - 18W
OPEN
$56.70
$50.00
$0.00
$106.70","
 HV38415 - Image
10/24/2020 13:48:59
http://10.37.248.147/njta/202010/20201024/014_20w/013014_20wW2020102413485983DV_02.jpg
 20w - 14 
OPEN
$13.40
$50.00
$0.00
$63.40","
 HV45418 - Image
10/24/2020 13:46:19
http://10.37.248.147/njta/202010/20201024/006_07w/013006_07wW2020102413461959DV_02.jpg
 07w - 6  
OPEN
$10.95
$50.00
$0.00
$60.95","
 HV02253 - Image
10/24/2020 13:45:09
http://10.37.248.147/njta/202010/20201024/15E_12w/01315E_12wW2020102413450971DV_02.jpg
 12w - 15E
OPEN
$14.15
$50.00
$0.00
$64.15"
